DRG14601	直腸切除術，年齡大於等於41歲，有合併症或併發症
DRG32701	腎及泌尿道症狀及徵候，年齡0-17歲，有合併症或併發症
DRG32702	腎及泌尿道症狀及徵候，年齡0-17歲，無合併症或併發症
DRG328	尿道狹窄，年齡大於等於18歲，有合併症或併發症
DRG329	尿道狹窄，年齡大於等於18歲，無合併症或併發症
DRG33001	尿道狹窄，年齡0-17歲，有合併症或併發症
DRG33002	尿道狹窄，年齡0-17歲，無合併症或併發症
DRG331	其他腎及泌尿道診斷，年齡大於等於18歲，有合併症或併發症
DRG332	其他腎及泌尿道診斷，年齡大於等於18歲，無合併症或併發症
DRG33301	其他腎及泌尿道診斷，年齡0-17歲，有合併症或併發症
DRG33302	其他腎及泌尿道診斷，年齡0-17歲，無合併症或併發症
DRG334	男性骨盆手術，有合併症或併發症
DRG335	男性骨盆手術，無合併症或併發症
DRG336	經尿道攝護腺切除術，有合併症或併發症
DRG337	經尿道攝護腺切除術，無合併症或併發症
DRG338	睪丸原位癌手術
DRG33901	睪丸非惡性腫瘤手術，年齡大於等於18歲，有合併症或併發症
DRG33902	睪丸非惡性腫瘤手術，年齡大於等於18歲，無合併症或併發症
DRG34001	睪丸非惡性腫瘤手術，年齡0-17歲，有合併症或併發症
DRG34002	睪丸非惡性腫瘤手術，年齡0-17歲，無合併症或併發症
DRG34101	陰莖手術，年齡大於等於2歲，有合併症或併發症
DRG34102	陰莖手術，年齡大於等於2歲，無合併症或併發症
DRG34103	陰莖手術，年齡0-1歲，有合併症或併發症
DRG34104	陰莖手術，年齡0-1歲，無合併症或併發症
DRG34201	包皮環割術，年齡大於等於18歲，有合併症或併發症
DRG34202	包皮環割術，年齡大於等於18歲，無合併症或併發症
DRG34301	包皮環割術，年齡為0-17歲，有合併症或併發症
DRG34302	包皮環割術，年齡為0-17歲，無合併症或併發症
DRG344	男性生殖系統原位癌之手術
DRG34501	其他男性生殖系統手術，惡性腫瘤除外，有合併症或併發症
DRG34502	其他男性生殖系統手術，惡性腫瘤除外，無合併症或併發症
DRG346	男性生殖系統原位癌，有合併症或併發症
DRG347	男性生殖系統原位癌，無合併症或併發症
DRG348	良性攝護腺肥大，有合併症或併發症
DRG349	良性攝護腺肥大，無合併症或併發症
DRG35001	男性生殖系統炎症，有合併症或併發症
DRG35002	男性生殖系統炎症，無合併症或併發症
DRG35201	其他男性生殖系統之診斷(1)
DRG35202	其他男性生殖系統之診斷(2)，有合併症或併發症
DRG35203	其他男性生殖系統之診斷(2)，無合併症或併發症
DRG35204	其他男性生殖系統之診斷(3)，有合併症或併發症
DRG35205	其他男性生殖系統之診斷(3)，無合併症或併發症
DRG35301	骨盆腔臟器摘除術，根除性子宮切除術及女陰切除術，有合併症或併發症
DRG35302	骨盆腔臟器摘除術，根除性子宮切除術及女陰切除術，無合併症或併發症
DRG35601	女性生殖系統整形術，有合併症或併發症
DRG35602	女性生殖系統整形術，無合併症或併發症
DRG35801	腹腔鏡子宮切除術，併尿失禁手術，有合併症或併發症
DRG35901	腹腔鏡子宮切除術，併尿失禁手術，無合併症或併發症
DRG35802	腹腔鏡子宮切除術，無尿失禁手術，有合併症或併發症
DRG35902	腹腔鏡子宮切除術，無尿失禁手術，無合併症或併發症
DRG35803	傳統子宮切除術，併尿失禁手術，有合併症或併發症
DRG35903	傳統子宮切除術，併尿失禁手術，無合併症或併發症
DRG35804	傳統子宮切除術，無尿失禁手術，有合併症或併發症
DRG35904	傳統子宮切除術，無尿失禁手術，無合併症或併發症
DRG35805	其他腹腔鏡子宮及其附屬器官手術，有合併症或併發症
DRG35905	其他腹腔鏡子宮及其附屬器官手術，無合併症或併發症
DRG35806	其他傳統子宮及其附屬器官手術，有合併症或併發症
DRG35906	其他傳統子宮及其附屬器官手術，無合併症或併發症
DRG36001	陰道、子宮頸及陰唇手術，有合併症或併發症
DRG36002	陰道、子宮頸及陰唇手術，無合併症或併發症
DRG36101	腹腔鏡及輸卵管阻塞切開術，有合併症或併發症
DRG36102	腹腔鏡及輸卵管阻塞切開術，無合併症或併發症
DRG363	原位癌之子宮擴刮術、錐狀切除術及放射線植入術
DRG364	子宮擴刮術及椎切術，惡性腫瘤除外
DRG36501	其他女性生殖系統手術，有合併症或併發症
DRG36502	其他女性生殖系統手術，無合併症或併發症
DRG36604	女性生殖系統原位癌，有合併症或併發症
DRG36704	女性生殖系統原位癌，無合併症或併發症
DRG36801	女性生殖系統感染，有合併症或併發症
DRG36802	女性生殖系統感染，無合併症或併發症
DRG369	月經及其他女性生殖系統疾患
DRG370	剖腹生產，有合併症或併發症
DRG371	剖腹生產，無合併症或併發症
DRG372	陰道分娩，伴有複雜診斷
DRG37301	陰道分娩，無複雜診斷，有合併症或併發症
DRG37302	陰道分娩，無複雜診斷，無合併症或併發症
DRG37401	陰道分娩，有子宮擴刮術，有合併症或併發症
DRG37402	陰道分娩，有子宮擴刮術，無合併症或併發症
DRG37501	手術性陰道分娩，子宮擴刮術除外，有合併症或併發症
DRG37502	手術性陰道分娩，子宮擴刮術除外，無合併症或併發症
DRG37601	無手術之產後及流產後診斷(1)
DRG37602	無手術之產後及流產後診斷(2)，有合併症或併發症
DRG37603	無手術之產後及流產後診斷(2)，無合併症或併發症
DRG37604	無手術之產後及流產後診斷(3)，有合併症或併發症
DRG37605	無手術之產後及流產後診斷(3)，無合併症或併發症
DRG37701	伴有手術之產後及流產後診斷(1)
DRG37702	伴有手術之產後及流產後診斷(2)，有合併症或併發症
DRG37703	伴有手術之產後及流產後診斷(2)，無合併症或併發症
DRG37704	伴有手術之產後及流產後診斷(3)，有合併症或併發症
DRG37705	伴有手術之產後及流產後診斷(3)，無合併症或併發症
DRG37801	腹腔鏡子宮外孕手術
DRG37802	子宮外孕手術
DRG37803	子宮外孕
DRG37901	迫切流產(1)
DRG37902	迫切流產(2)，有合併症或併發症
DRG37903	迫切流產(2)，無合併症或併發症
DRG38001	無子宮擴刮術之流產，有合併症或併發症
DRG38002	無子宮擴刮術之流產，無合併症或併發症
DRG38101	伴有子宮擴刮術之流產或子宮切開術，有合併症或併發症
DRG38102	伴有子宮擴刮術之流產或子宮切開術，無合併症或併發症
DRG382	假產
DRG38301	伴有內科併發症之其他產前診斷，有合併症或併發症
DRG38302	伴有內科併發症之其他產前診斷，無合併症或併發症
DRG384	無內科併發症之其他產前診斷
DRG469	出院之主要診斷無效者
DRG513	自行要求剖腹生產
DRGN01	新生兒出生>=28天
DRGN02	新生兒出生2日內死亡
DRGN03	出生<=27天，出生體重<1000公克，且出院時存活
DRGN04	出生<=27天，出生體重<1000公克，且出院時死亡
DRGN05	出生<=27天，出生體重介於1000-1499公克，主或次診斷有MAJOR PROBLEM或有使用呼吸器
DRGN06	出生<=27天，出生體重介於1000-1499公克
DRGN07	出生<=27天，出生體重介於1500-1999公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN08	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MAJOR PROBLEM
DRGN09	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MINOR PROBLEM
DRGN10	出生<=27天，出生體重介於1500-1999公克
DRGN11	出生<=27天，出生體重介於2000-2499公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN12	出生<=27天，出生體重介於2000-2499公克，主或次診斷有MAJOR PROBLEM
DRGN13	出生<=27天，出生體重介於2000-2499公克，主或次診斷有MINOR PROBLEM
DRGN14	出生<=27天，出生體重>2499公克，有手術，主或次診斷有多重MAJOR PROBLEM
DRGN15	出生<=27天，出生體重>2499公克，有手術
DRGN16	出生<=27天，出生體重>2499公克，無手術，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器
DRGN17	出生<=27天，出生體重>2499公克，無手術，主或次診斷有MAJOR PROBLEM
DRGN18	出生<=27天，出生體重>2499公克，無手術，主或次診斷有MINOR PROBLEM
DRGN19	出生<=27天，出生體重>2499公克，無手術
DRG39201	脾臟切除術，年齡大於等於18歲，有合併症或併發症
DRG39202	脾臟切除術，年齡大於等於18歲，無合併症或併發症
DRG39301	脾臟切除術，年齡0~17歲，有合併症或併發症
DRG39302	脾臟切除術，年齡0~17歲，無合併症或併發症
DRG39401	血液及造血器官之其他手術，有合併症或併發症
DRG39402	血液及造血器官之其他手術，無合併症或併發症
DRG39501	紅血球疾患(1)，年齡大於等於18歲
DRG39601	紅血球疾患(1)，年齡0~17歲
DRG39502	紅血球疾患(2)，年齡大於等於18歲，有合併症或併發症
DRG39503	紅血球疾患(2)，年齡大於等於18歲，無合併症或併發症
DRG39602	紅血球疾患(2)，年齡0~17歲，有合併症或併發症
DRG39603	紅血球疾患(2)，年齡0~17歲，無合併症或併發症
DRG39701	VON WILLEBRAND'S DISEASE，有合併症或併發症
DRG39702	VON WILLEBRAND'S DISEASE，無合併症或併發症
DRG39703	去纖維蛋白徵候群，有合併症或併發症
DRG39704	去纖維蛋白徵候群，無合併症或併發症
DRG39705	其他血液凝固缺陷，有合併症或併發症
DRG39706	其他血液凝固缺陷，無合併症或併發症
DRG39802	網狀內皮及免疫性疾患(1)，有合併症或併發症
DRG39902	網狀內皮及免疫性疾患(1)，無合併症或併發症
DRG39803	網狀內皮及免疫性疾患(2)，有合併症或併發症
DRG39903	網狀內皮及免疫性疾患(2)，無合併症或併發症
DRG39804	網狀內皮及免疫性疾患(3)，有合併症或併發症
DRG39904	網狀內皮及免疫性疾患(3)，無合併症或併發症
DRG40001	血漿蛋白代謝疾患之手術，有合併症或併發症
DRG40002	血漿蛋白代謝疾患之手術，無合併症或併發症
DRG401	血漿蛋白代謝疾患之立體定位放射性外科手術，有合併症或併發症
DRG402	血漿蛋白代謝疾患之立體定位放射性外科手術，無合併症或併發症
DRG40301	血漿蛋白代謝疾患，有合併症或併發症
DRG40401	血漿蛋白代謝疾患，無合併症或併發症
DRG406	骨髓增生性疾病或分化不明腫瘤重大手術，有合併症或併發症
DRG407	骨髓增生性疾病或分化不明腫瘤重大手術，無合併症或併發症
DRG40801	骨髓增生性疾病或分化不明腫瘤之其他手術，有合併症或併發症
DRG40802	骨髓增生性疾病或分化不明腫瘤之其他手術，無合併症或併發症
DRG41101	未做內視鏡檢查之惡性腫瘤病史，有合併症或併發症
DRG41102	未做內視鏡檢查之惡性腫瘤病史，無合併症或併發症
DRG412	伴有內視鏡檢查之惡性腫瘤病史
DRG413	其他骨髓增生性疾病或分化不明腫瘤之診斷，有合併症或併發症
DRG414	其他骨髓增生性疾病或分化不明腫瘤診斷，無合併症或併發症
DRG41501	傳染疾病寄生蟲病之手術，有合併症或併發症
DRG41502	傳染疾病寄生蟲病之手術，無合併症或併發症
DRG41601	敗血症，年齡大於等於18歲，有合併症或併發症
DRG41602	敗血症，年齡大於等於18歲，無合併症或併發症
DRG41701	敗血症，年齡0-17歲，有合併症或併發症
DRG41702	敗血症，年齡0-17歲，無合併症或併發症
DRG41803	手術後及創傷後感染，有合併症或併發症
DRG41804	手術後及創傷後感染，無合併症或併發症
DRG419	不明熱，年齡大於等於18歲，有合併症或併發症
DRG420	不明熱，年齡大於等於18歲，無合併症或併發症
DRG42101	病毒性病症，年齡大於等於18歲，有合併症或併發症
DRG42102	病毒性病症，年齡大於等於18歲，無合併症或併發症
DRG42201	病毒性病症及不明熱，年齡0~17歲，有合併症或併發症
DRG42202	病毒性病症及不明熱，年齡0~17歲，無合併症或併發症
DRG42301	其他傳染疾病寄生蟲病之診斷(1)，有合併症或併發症
DRG42302	其他傳染疾病寄生蟲病之診斷(1)，無合併症或併發症
DRG42303	其他傳染疾病寄生蟲病之診斷(2)，有合併症或併發症
DRG42304	其他傳染疾病寄生蟲病之診斷(2)，無合併症或併發症
DRG43901	損傷之皮膚移植，有合併症或併發症
DRG43902	損傷之皮膚移植，無合併症或併發症
DRG44001	損傷之擴創術，有合併症或併發症
DRG44002	損傷之擴創術，無合併症或併發症
DRG44101	手損傷手術，有合併症或併發症
DRG44102	手損傷手術，無合併症或併發症
DRG442	其他損傷手術，有合併症或併發症
DRG443	其他損傷手術，無合併症或併發症
DRG444	創傷，年齡大於等於18歲，有合併症或併發症
DRG445	創傷，年齡大於等於18歲，無合併症或併發症
DRG44601	多發性創傷，年齡0-17歲，有合併症或併發症
DRG44602	多發性創傷，年齡0-17歲，無合併症或併發症
DRG44701	過敏性反應，年齡大於等於18歲，有合併症或併發症
DRG44702	過敏性反應，年齡大於等於18歲，無合併症或併發症
DRG44801	過敏性反應，年齡0-17歲，有合併症或併發症
DRG44802	過敏性反應，年齡0-17歲，無合併症或併發症
DRG44901	藥品毒性作用(1)，年齡大於等於18歲，有合併症或併發症
DRG45001	藥品毒性作用(1)，年齡大於等於18歲，無合併症或併發症
DRG45101	藥品毒性作用(1)，年齡0-17歲，有合併症與併發症
DRG45102	藥品毒性作用(1)，年齡0-17歲，無合併症與併發症
DRG44902	藥品毒性作用(2)，年齡大於等於18歲，有合併症或併發症
DRG45002	藥品毒性作用(2)，年齡大於等於18歲，無合併症或併發症
DRG45103	藥品毒性作用(2)，年齡0-17歲，有合併症與併發症
DRG45104	藥品毒性作用(2)，年齡0-17歲，無合併症與併發症
DRG452	治療性併發症，有合併症或併發症
DRG453	治療性併發症，無合併症或併發症
DRG454	其他損傷、中毒及毒性作用診斷，有合併症或併發症
DRG455	其他損傷、中毒及毒性作用診斷，無合併症或併發症
DRG41801	創傷後感染，有合併症或併發症
DRG41802	創傷後感染，無合併症或併發症
DRG50401	三度廣泛性燒傷伴有皮膚移植(1)，有合併症或併發症
DRG50402	三度廣泛性燒傷伴有皮膚移植(1)，無合併症或併發症
DRG50403	三度廣泛性燒傷伴有皮膚移植(2)，有合併症或併發症
DRG50404	三度廣泛性燒傷伴有皮膚移植(2)，無合併症或併發症
DRG50405	三度廣泛性燒傷伴有皮膚移植(3)
DRG50501	三度廣泛性燒傷無皮膚移植(1)，有合併症或併發症
DRG50502	三度廣泛性燒傷無皮膚移植(1)，無合併症或併發症
DRG50503	三度廣泛性燒傷無皮膚移植(2)，有合併症或併發症
DRG50504	三度廣泛性燒傷無皮膚移植(2)，無合併症或併發症
DRG50505	三度廣泛性燒傷無皮膚移植(3)
DRG50601	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50602	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡5-64歲
DRG50603	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50604	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡5-64歲
DRG50605	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50606	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，有合併症或併發症，年齡5-64歲
DRG50701	全層皮膚燒傷伴有皮膚移植或吸入性傷害(1)，無合併症或併發症
DRG50702	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50703	全層皮膚燒傷伴有皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡5-64歲
DRG50704	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50705	全層皮膚燒傷伴有皮膚移植或吸入性傷害(3)，無合併症或併發症，年齡5-64歲
DRG50801	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50802	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，有合併症或併發症，年齡5-64歲
DRG50803	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡小於5歲或大於等於65歲
DRG50804	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，有合併症或併發症，年齡5-64歲
DRG50901	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50902	全層皮膚燒傷無皮膚移植或吸入性傷害(1)，無合併症或併發症，年齡5-64歲
DRG50903	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡小於5歲或大於等於65歲
DRG50904	全層皮膚燒傷無皮膚移植或吸入性傷害(2)，無合併症或併發症，年齡5-64歲
DRG510	非廣泛性燒傷，有合併症或併發症
DRG511	非廣泛性燒傷，無合併症或併發症
DRG46101	診斷需要其他醫療服務之手術，年齡大於等於18歲
DRG46102	診斷需要其他醫療服務之手術，年齡0-17歲，有合併症或併發症
DRG46103	診斷需要其他醫療服務之手術，年齡0-17歲，無合併症或併發症
DRG46201	復健，年齡大於等於18歲，有合併症或併發症
DRG46202	復健，年齡大於等於18歲，無合併症或併發症
DRG46203	復健，年齡0-17歲，有合併症或併發症
DRG46204	復健，年齡0-17歲，無合併症或併發症
DRG463	症狀及徵候，有合併症或併發症
DRG464	症狀及徵候，無合併症或併發症
DRG465	次要診斷為惡性腫瘤病史之恢復期調養
DRG466	次要診斷為非惡性腫瘤病史之恢復期調養
DRG467	其他影響健康狀態之因素
DRG48401	多發性外傷之顱骨切除術，有合併症與併發症
DRG48402	多發性外傷之顱骨切除術，無合併症與併發症
DRG48501	多發性外傷之肢體接肢及臂股手術，有合併症與併發症
DRG48502	多發性外傷之肢體接肢及臂股手術，無合併症與併發症
DRG48601	其他多發性外傷手術，有合併症與併發症
DRG48602	其他多發性外傷手術，無合併症與併發症
DRG48701	其他多發性外傷，有合併症與併發症
DRG48702	其他多發性外傷，無合併症與併發症
DRG48401	多發性外傷之顱骨切除術，有合併症與併發症
DRG48402	多發性外傷之顱骨切除術，無合併症與併發症
DRG48501	多發性外傷之肢體接肢及臂股手術，有合併症與併發症
DRG48502	多發性外傷之肢體接肢及臂股手術，無合併症與併發症
DRG48601	其他多發性外傷手術，有合併症與併發症
DRG48602	其他多發性外傷手術，無合併症與併發症
DRG48701	其他多發性外傷，有合併症與併發症
DRG48702	其他多發性外傷，無合併症與併發症
DRG10301	心臟移植，有合併症或併發症
DRG10302	心臟移植，無合併症或併發症
DRG48001	肝移植，有合併症或併發症
DRG48002	肝移植，無合併症或併發症
DRG48101	骨髓移植，有合併症或併發症
DRG48102	骨髓移植，無合併症或併發症
DRG48201	診斷為臉、口腔及頸部疾患之氣管造口術，有合併症或併發症
DRG48202	診斷為臉、口腔及頸部疾患之氣管造口術，無合併症或併發症
DRG48301	除臉、口腔及頸部以外疾患之氣管造口術，有合併症或併發症
DRG48302	除臉、口腔及頸部以外疾患之氣管造口術，無合併症或併發症
DRG49501	肺移植，有合併症或併發症
DRG49502	肺移植，無合併症或併發症
DRG512	胰臟移植
DRG00101	顱骨切開術，創傷除外，年齡大於等於18歲，有合併症或併發症
DRG00102	顱骨切開術，創傷除外，年齡大於等於18歲，無合併症或併發症
DRG00201	顱骨切開術，含有創傷，年齡大於等於18歲，有合併症或併發症
DRG00202	顱骨切開術，含有創傷，年齡大於等於18歲，無合併症或併發症
DRG00301	顱骨切開術，年齡0~17歲，有合併症或併發症
DRG00302	顱骨切開術，年齡0~17歲，無合併症或併發症
DRG00401	脊椎手術，有合併症或併發症
DRG00402	脊椎手術，無合併症或併發症
DRG00501	顱外血管手術，有合併症或併發症
DRG00502	顱外血管手術，無合併症或併發症
DRG00601	腕隧道鬆解術，有合併症或併發症
DRG00602	腕隧道鬆解術， 無合併症或併發症
DRG00701	末梢神經、腦神經及其他神經系統手術(1)，有合併症或併發症
DRG00702	末梢神經、腦神經及其他神經系統手術(2)，有合併症或併發症
DRG00703	末梢神經、腦神經及其他神經系統手術(3)，有合併症或併發症
DRG00704	末梢神經、腦神經及其他神經系統手術(4)，有合併症或併發症
DRG008	末梢神經、腦神經及其他神經系統手術，無合併症或併發症
DRG00901	脊椎疾患及損傷(1)，有合併症或併發症
DRG00902	脊椎疾患及損傷(1)，無合併症或併發症
DRG00903	脊椎疾患及損傷(2)，有合併症或併發症
DRG00904	脊椎疾患及損傷(2)，無合併症或併發症
DRG00905	脊椎疾患及損傷(3)
DRG01001	神經系統良性腫瘤(1)，有合併症或併發症
DRG01101	神經系統良性腫瘤(1)，無合併症或併發症
DRG01002	神經系統良性腫瘤(2)，有合併症或併發症
DRG01102	神經系統良性腫瘤(2)，無合併症或併發症
DRG01201	變質性神經系統疾患(1)
DRG01202	變質性神經系統疾患(2)，有合併症或併發症
DRG01203	變質性神經系統疾患(2)，無合併症或併發症
DRG01301	多發性硬化症及小腦運動失調(1)，有合併症或併發症
DRG01302	多發性硬化症及小腦運動失調(1)，無合併症或併發症
DRG01303	多發性硬化症及小腦運動失調(2)，有合併症或併發症
DRG01304	多發性硬化症及小腦運動失調(2)，無合併症或併發症
DRG01401	特定性腦血管疾患，暫時性腦部缺氧除外(1)，有合併症或併發症
DRG01402	特定性腦血管疾患，暫時性腦部缺氧除外(1)，無合併症或併發症
DRG01403	特定性腦血管疾患，暫時性腦部缺氧除外(2)，有合併症或併發症
DRG01404	特定性腦血管疾患，暫時性腦部缺氧除外(2)，無合併症或併發症
DRG01405	特定性腦血管疾患，暫時性腦部缺氧除外(3)，有合併症或併發症
DRG01406	特定性腦血管疾患，暫時性腦部缺氧除外(3)，無合併症或併發症
DRG01501	暫時性腦部缺氧之發作及腦前動脈阻塞(1)，有合併症或併發症
DRG01502	暫時性腦部缺氧之發作及腦前動脈阻塞(1)，無合併症或併發症
DRG01503	暫時性腦部缺氧之發作及腦前動脈阻塞(2)，有合併症或併發症
DRG01504	暫時性腦部缺氧之發作及腦前動脈阻塞(2)，無合併症或併發症
DRG01505	暫時性腦部缺氧之發作及腦前動脈阻塞(3)，有合併症或併發症
DRG01506	暫時性腦部缺氧之發作及腦前動脈阻塞(3)，無合併症或併發症
DRG01601	未明示之腦血管疾患(1)，有合併症或併發症
DRG01701	未明示之腦血管疾患(1)，無合併症或併發症
DRG01602	未明示之腦血管疾患(2)，有合併症或併發症
DRG01702	未明示之腦血管疾患(2)，無合併症或併發症
DRG018	腦及末梢神經疾患，有合併症或併發症
DRG019	腦及末梢神經疾患，無合併症或併發症
DRG02001	神經系統感染，病毒性腦膜炎除外(1)，有合併症或併發症
DRG02002	神經系統感染，病毒性腦膜炎除外(1)，無合併症或併發症
DRG02003	神經系統感染，病毒性腦膜炎除外(2)，有合併症或併發症
DRG02004	神經系統感染，病毒性腦膜炎除外(2)，無合併症或併發症
DRG02101	病毒性腦膜炎(1)，有合併症或併發症
DRG02102	病毒性腦膜炎(1)，無合併症或併發症
DRG02103	病毒性腦膜炎(2)，有合併症或併發症
DRG02104	病毒性腦膜炎(2)，無合併症或併發症
DRG02201	高血壓性腦病變，有合併症或併發症
DRG02202	高血壓性腦病變，無合併症或併發症
DRG02301	非創傷性木殭及昏迷，有合併症或併發症
DRG02302	非創傷性木殭及昏迷，無合併症或併發症
DRG024	顛癇發作及頭痛，年齡大於等於18歲，有合併症或併發症
DRG025	顛癇發作及頭痛，年齡大於等於18歲，無合併症或併發症
DRG02601	顛癇發作及頭痛，年齡0-17歲，有合併症或併發症
DRG02602	顛癇發作及頭痛，年齡0-17歲，無合併症或併發症
DRG02701	創傷性木殭及昏迷，昏迷超過1小時，有合併症或併發症
DRG02702	創傷性木殭及昏迷，昏迷超過1小時，無合併症或併發症
DRG02801	創傷性木殭及昏迷，昏迷少於1小時，年齡大於等於18歲，有合併症或併發症
DRG02901	創傷性木殭及昏迷，昏迷少於1小時，年齡大於等於18歲， 無合併症或併發症
DRG03001	創傷性木殭及昏迷，昏迷少於1小時，年齡 0-17歲， 有合併症或併發症
DRG03002	創傷性木殭及昏迷，昏迷少於1小時，年齡 0-17歲， 無合併症或併發症
DRG02802	創傷性木殭，無昏迷，年齡大於等於18歲，有合併症或併發症
DRG02902	創傷性木殭，無昏迷，年齡大於等於18歲，無合併症或併發症
DRG03003	創傷性木殭，無昏迷，年齡 0-17歲， 有合併症或併發症
DRG03004	創傷性木殭，無昏迷，年齡 0-17歲，無合併症或併發症
DRG02803	創傷性木殭，有腦震盪，年齡大於等於18歲，有合併症或併發症
DRG02903	創傷性木殭，有腦震盪，年齡大於等於18歲，無合併症或併發症
DRG03005	創傷性木殭，有腦震盪，年齡 0-17歲， 有合併症或併發症
DRG03006	創傷性木殭，有腦震盪，年齡 0-17歲，無合併症或併發症
DRG031	腦震盪，年齡大於等於18歲，有合併症或併發症
DRG032	腦震盪，年齡大於等於18歲，無合併症或併發症
DRG03301	腦震盪，年齡0~17歲，有合併症或併發症
DRG03302	腦震盪，年齡0~17歲，無合併症或併發症
DRG034	其他神經系統疾患，有合併症或併發症
DRG035	其他神經系統疾患，無合併症或併發症
DRG03601	視網膜手術合併玻璃體手術
DRG03602	視網膜手術無合併玻璃體手術
DRG03701	眼窩手術(1)，年齡0-17歲或有複雜次診斷 
DRG03702	眼窩手術(1)，年齡大於等於18歲
DRG03703	眼窩手術(2)，年齡0-17歲或有複雜次診斷 
DRG03704	眼窩手術(2)，年齡大於等於18歲
DRG03705	眼窩手術(3)
DRG03706	眼窩手術(4)，年齡0-17歲或有複雜次診斷 
DRG03707	眼窩手術(4)，年齡大於等於18歲
DRG03801	原發性虹膜手術(1)
DRG03802	原發性虹膜手術(2)
DRG03901	雙側水晶體手術，含玻璃體切除術
DRG03903	單側水晶體手術，含玻璃體切除術
DRG03904	雙側水晶體手術，不含玻璃體切除術
DRG03905	單側水晶體手術，不含玻璃體切除術
DRG03902	眼異物移除手術，含玻璃體切除術
DRG03906	眼異物移除手術，不含玻璃體切除術
DRG04001	外眼手術，眼窩除外(1)，年齡大於等於18歲
DRG04101	外眼手術，眼窩除外(1)，年齡0-17歲
DRG04002	外眼手術，眼窩除外(2)，年齡大於等於18歲
DRG04102	外眼手術，眼窩除外(2)，年齡0-17歲
DRG04003	外眼手術，眼窩除外(3)，年齡大於等於18歲
DRG04103	外眼手術，眼窩除外(3)，年齡0-17歲
DRG04004	外眼手術，眼窩除外(4)，年齡大於等於18歲
DRG04104	外眼手術，眼窩除外(4)，年齡0-17歲
DRG04201	眼內手術，視網膜、虹膜及水晶體除外(1)
DRG04202	眼內手術，視網膜、虹膜及水晶體除外(2)
DRG04301	前房出血，有合併症或併發症
DRG04302	前房出血，無合併症或併發症
DRG04401	急性重大之眼睛感染，有合併症或併發症
DRG04402	急性重大之眼睛感染，無合併症或併發症
DRG04501	眼神經疾患，有合併症或併發症
DRG04502	眼神經疾患，無合併症或併發症
DRG046	其他眼睛疾患，年齡大於等於18歲，有合併症或併發症
DRG047	其他眼睛疾患，年齡大於等於18歲，無合併症或併發症
DRG048	其他眼睛疾患，年齡0-17歲
DRG04901	頭部及頸部重大手術，有合併症或併發症
DRG04902	頭部及頸部重大手術，無合併症或併發症
DRG05001	涎腺切除術，有合併症或併發症
DRG05002	涎腺切除術，無合併症或併發症
DRG05101	唾液腺手術，涎腺切除術除外，有合併症或併發症
DRG05102	唾液腺手術，涎腺切除術除外，無合併症或併發症
DRG052	唇裂及顎裂修補術
DRG05301	鼻竇及乳突手術，年齡大於等於18歲，有合併症或併發症
DRG05302	鼻竇及乳突手術，年齡大於等於18歲，無合併症或併發症
DRG05401	鼻竇及乳突手術，年齡0~17歲，有合併症或併發症
DRG05402	鼻竇及乳突手術，年齡0~17歲，無合併症或併發症
DRG05501	喉氣管支氣管畸形手術，有合併症或併發症
DRG05502	喉氣管支氣管畸形手術，無合併症或併發症
DRG05503	中耳炎手術，有合併症或併發症
DRG05504	中耳炎手術，無合併症或併發症
DRG05505	其他診斷行耳、鼻及咽喉手術，有合併症或併發症
DRG05506	其他診斷行耳、鼻及咽喉手術，無合併症或併發症
DRG05601	鼻成形術，有合併症或併發症
DRG05602	鼻成形術，無合併症或併發症
